x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
576.377,1054.587,283.300,991.782,870.441,921.802,71.086,781.526,1032.097,631.973,19.731,506.772,1019.083,361.090,110.374,241.929,843.359,111.797,429.819,24.383
576.298,1054.849,282.992,991.901,869.340,922.072,71.117,781.786,1032.311,631.979,19.779,506.668,1018.009,360.134,110.594,241.578,843.991,111.479,430.071,24.604
575.743,1055.196,283.191,991.929,870.093,920.910,71.183,781.514,1032.230,632.137,19.184,506.376,1018.979,361.012,110.336,242.016,843.363,111.561,429.991,24.615
576.633,1054.553,283.155,991.800,869.789,920.938,70.957,781.184,1032.311,632.012,19.616,506.851,1017.956,360.301,110.507,241.981,843.421,111.510,430.190,24.405
576.276,1054.935,283.046,991.623,870.397,921.914,70.821,781.387,1032.268,631.929,19.637,506.821,1018.023,360.427,110.515,241.906,843.214,111.416,429.985,24.481
576.325,1055.265,283.364,991.951,869.877,922.448,70.982,781.535,1032.160,631.985,19.670,506.898,1018.930,361.414,110.941,241.643,843.475,111.467,429.675,24.607
576.454,1054.883,283.334,991.813,869.395,921.707,70.872,781.583,1032.567,631.803,19.648,506.777,1018.070,360.363,110.242,241.999,843.514,111.622,429.841,24.552
576.395,1054.869,283.157,991.922,869.370,921.775,71.000,781.718,1032.258,632.014,19.748,506.823,1019.108,361.238,110.190,242.039,843.471,111.486,430.107,24.707
575.896,1055.044,283.261,991.973,869.822,922.314,70.898,781.645,1032.583,631.984,19.662,506.694,1019.083,361.182,110.350,242.230,843.432,111.404,430.037,24.689
576.384,1054.369,283.200,991.898,869.650,921.170,71.029,781.832,1032.349,632.189,19.810,506.996,1017.888,360.543,110.319,242.005,843.520,111.397,429.998,24.427
576.240,1054.578,283.052,991.856,869.494,921.927,70.876,781.712,1032.115,631.725,19.618,506.731,1019.029,361.321,110.301,241.684,843.519,111.799,429.679,24.614
575.934,1054.849,283.204,991.741,869.767,921.071,71.042,781.758,1032.098,632.509,19.722,506.719,1019.130,361.127,109.917,241.929,843.517,111.572,430.023,24.525
575.707,1055.380,283.376,991.742,869.921,922.442,71.097,781.760,1032.280,631.583,19.330,506.400,1018.160,360.428,110.389,241.847,843.545,111.596,430.156,24.449
576.459,1054.886,283.393,991.945,869.922,922.322,70.909,781.422,1032.348,631.930,19.774,506.532,1017.999,360.296,110.363,241.637,843.532,111.366,430.002,24.530
576.263,1055.042,283.304,991.914,869.943,920.928,70.777,781.813,1032.324,631.959,19.123,506.291,1018.116,360.386,110.297,241.699,843.641,111.363,429.989,24.436
576.101,1054.838,283.094,991.728,870.398,921.683,70.775,781.600,1032.370,631.888,19.233,506.372,1017.977,360.159,110.271,241.910,843.407,111.411,429.773,24.486
576.397,1054.697,283.239,992.028,870.649,921.826,71.132,781.581,1032.294,632.274,19.255,506.531,1019.056,361.392,110.393,242.065,843.468,111.468,429.931,24.611
576.368,1054.021,283.358,991.540,870.636,921.937,70.951,781.740,1032.294,632.079,19.568,506.888,1019.449,361.322,110.314,242.239,843.226,111.215,429.823,24.522
576.575,1054.554,283.134,992.028,870.002,922.523,71.076,781.669,1032.342,632.103,19.687,506.948,1019.297,361.397,110.627,241.732,843.477,111.425,429.766,24.678
575.737,1055.528,283.024,991.773,869.740,920.925,71.023,781.899,1032.150,632.137,19.721,507.012,1018.244,360.408,110.550,242.022,843.548,111.512,429.856,24.514
576.231,1054.937,283.257,991.767,869.405,921.946,71.019,781.651,1031.820,632.263,19.366,506.102,1019.222,361.552,110.478,241.900,843.324,111.480,429.767,24.458
575.980,1055.150,283.149,991.937,869.847,920.856,70.903,781.765,1032.401,631.650,19.782,506.557,1018.251,360.252,110.384,241.819,843.389,111.565,429.585,24.296
576.500,1054.693,283.033,992.135,870.018,922.508,70.948,781.519,1032.397,632.061,19.658,506.666,1018.132,360.080,110.242,241.981,843.605,111.692,429.802,24.459
576.552,1054.488,282.934,991.864,869.794,921.030,70.885,781.740,1032.326,632.244,19.206,506.522,1019.122,361.146,110.547,242.127,843.525,111.405,429.998,24.405
576.433,1054.524,283.129,991.795,870.641,921.846,70.889,781.639,1032.225,632.196,19.737,506.665,1017.910,360.267,110.695,241.866,843.615,111.450,429.929,24.579
576.243,1055.112,283.150,992.009,870.618,921.981,71.183,781.488,1032.202,631.749,19.183,506.662,1018.038,360.381,110.214,241.709,843.538,111.266,429.825,24.617
576.293,1055.056,283.228,991.979,869.841,920.708,70.866,781.524,1032.465,631.966,19.280,506.427,1017.989,360.413,110.289,241.770,843.365,111.409,430.213,24.543
576.174,1054.700,283.314,992.108,869.951,920.925,71.051,781.262,1032.186,632.222,19.774,506.812,1018.018,360.363,110.572,241.849,843.385,111.482,429.933,24.403
576.206,1055.446,283.119,991.522,869.748,921.838,70.986,781.829,1032.241,631.860,19.321,506.179,1019.287,361.425,110.356,241.866,843.159,111.554,430.065,24.597
576.019,1055.097,283.133,991.851,869.864,920.989,70.953,781.569,1032.360,631.919,19.761,506.591,1017.916,360.405,110.499,242.006,843.394,111.561,430.006,24.254
576.107,1055.431,283.059,991.465,870.530,921.465,71.016,781.800,1032.404,632.009,19.363,506.226,1019.199,361.539,110.526,242.015,843.461,111.710,429.952,24.486
576.358,1055.015,283.273,991.845,869.301,921.778,70.926,781.708,1032.271,631.654,19.281,506.395,1019.229,361.482,110.315,241.917,843.490,111.619,429.927,24.499
575.995,1054.777,283.018,991.875,869.211,921.810,71.190,782.006,1032.303,632.056,19.348,506.174,1018.246,360.605,110.482,241.958,843.697,111.404,429.812,24.567
576.544,1054.836,282.939,991.636,870.021,922.626,70.943,781.437,1032.335,631.968,19.456,506.319,1018.226,360.433,110.290,241.922,843.376,111.547,429.814,24.596
