x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
676.708,973.387,995.577,663.107,891.737,767.774,789.951,99.405,866.678,156.544,539.932,28.052,973.076,777.357,255.418,111.171,963.712,332.053
676.64,973.602,996.979,664.875,896.881,755.432,780.234,96.221,874.163,160.577,539.882,27.893,973.166,777.748,260.441,108.223,960.562,333.062
676.755,973.636,1003.645,665.739,898.983,743.901,772.35,90.356,877.018,163.099,540.415,27.894,973.404,777.462,267.069,103.022,955.414,333.084
677.014,973.395,1005.731,666.126,903.504,732.644,769.608,88.675,880.987,163.875,541.226,27.947,973.048,777.662,273.73,100.207,949.012,334.048
676.617,973.181,1006.817,666.408,905.682,723.438,765.437,87.99,886.931,169.624,546.945,26.945,973.037,777.519,279.194,96.6,944.909,334.748
677.029,973.319,1009.026,667.029,910.08,715.013,765.946,86.495,887.741,171.36,551.029,26.525,972.852,777.927,283.209,93.984,937.22,335.997
676.914,973.432,1014.641,666.246,916.02,703.799,766.811,87.325,892.341,177.099,555.759,27.39,973.064,777.778,287.931,89.715,930.972,337.303
676.779,973.382,1014.715,668.12,919.978,695.626,763.033,85.102,896.6,181.321,563.041,26.639,972.861,777.995,295.005,85.133,916.648,340.765
677.046,973.44,1015.216,667.84,927.279,682.823,762.378,84.083,899.247,185.713,573.98,27.289,972.137,779.115,302.612,83.26,909.396,339.068
676.941,973.534,1015.224,667.394,933.401,673.014,761.21,83.498,900.265,186.731,583.137,27.016,966.677,785.826,311.94,78.31,898.22,340.092
676.576,973.308,1015.231,667.433,938.864,663.205,760.883,82.336,902.352,189.112,591.022,29.175,963.592,789.339,319.527,74.361,892.786,342.304
676.828,973.243,1014.864,666.983,947.179,653.142,759.007,78.295,902.879,190.137,598.356,30.791,960.903,789.388,325.091,73.385,882.725,342.704
676.683,973.071,1014.731,667.224,951.135,647.035,756.595,74.814,904.722,191.419,606.653,31.957,959.577,789.374,326.546,72.686,874.628,343.519
676.445,973.009,1015.105,666.835,956.943,635.632,752.375,72.946,905.424,192.45,615.325,33.347,958.814,786.526,331.685,71.66,864.058,344.049
676.703,973.4,1015.119,667.183,959.994,624.462,747.653,71.476,905.542,192.444,621.832,34.538,955.203,782.502,339.035,68.66,855.786,345.907
676.419,973.037,1013.166,671.696,964.764,613.174,741.086,69.269,905.695,192.856,626.16,37.062,950.676,781.129,342.92,68.574,845.271,347.951
676.467,972.932,1010.598,680.421,967.839,603.38,737.872,66.648,906.326,193.253,632.948,38.601,946.881,780.577,344.011,67.735,836.552,348.521
676.332,972.851,1008.115,686.52,965.685,588.731,735.836,66.892,911.379,196.733,636.593,38.846,946.436,779.369,343.021,68.909,828.686,348.648
676.117,972.79,1008.021,690.377,963.836,577.178,731.89,67.197,914.173,201.309,640.016,40.187,943.409,775.289,343.68,69.043,819.644,349.107
676.598,972.904,1006.158,699.658,962.346,567.4,730.87,66.976,916.677,203.28,643.677,40.406,939.088,772.94,345.12,70.652,808.65,347.083
676.406,972.824,1001.689,708.158,958.55,554.488,730.446,65.79,916.191,206.361,647.292,41.478,937.072,766.111,345.482,71.488,796.965,343.57
