x1,y1
660.193,1035.000
648.675,1036.723
641.536,1038.745
632.426,1041.200
626.970,1041.497
622.855,1043.243
619.816,1042.305
619.431,1042.665
619.328,1042.476
619.438,1042.724
619.325,1043.210
613.392,1045.172
601.840,1047.516
598.846,1049.092
594.506,1049.670
589.782,1049.052
584.983,1049.228
583.275,1049.974
579.134,1050.006
574.600,1049.774
571.187,1052.079
565.329,1052.122
558.032,1052.322
548.346,1051.620
541.754,1052.225
530.511,1052.350
523.661,1052.138
514.162,1051.269
507.853,1050.191
502.457,1050.727
492.296,1050.109
481.047,1048.006
474.861,1045.071
473.947,1045.486
474.973,1045.361
475.394,1046.074
475.819,1046.459
477.147,1050.185
473.774,1050.930
472.984,1051.644
470.860,1051.212
468.797,1051.212
464.554,1049.722
460.034,1048.067
452.106,1046.264
447.018,1046.476
438.111,1043.649
432.236,1043.479
425.381,1040.907
414.116,1037.962
408.032,1038.014
398.306,1034.577
394.459,1033.916
385.960,1030.299
375.822,1027.863
366.480,1023.851
361.123,1021.225
355.626,1020.314
346.595,1016.971
337.964,1012.800
331.171,1008.251
328.951,1007.509
328.763,1007.137
328.846,1006.440
328.233,1005.942
327.092,1008.055
325.753,1009.030
322.281,1008.538
320.559,1007.840
317.115,1005.578
312.253,1001.943
306.293,1000.538
302.917,998.641
292.406,991.723
286.157,987.894
279.688,984.600
277.020,983.696
273.193,982.564
271.847,982.250
270.252,979.931
261.757,973.932
258.318,972.016
252.863,969.537
248.613,965.438
242.578,959.375
236.811,953.285
234.469,954.501
234.349,955.018
229.874,952.761
227.322,950.538
223.684,948.043
221.451,945.135
218.013,940.652
215.032,938.710
211.434,933.913
207.772,933.030
206.635,932.284
206.898,931.098
204.087,926.683
201.172,924.989
201.188,923.027
202.482,921.035
203.313,919.354
203.052,918.350
201.707,916.700
201.757,916.801
202.531,916.845
205.265,916.334
207.042,916.083
208.242,917.854
208.177,914.863
210.489,911.296
212.430,905.357
213.963,898.994
214.999,893.164
216.043,884.298
218.430,875.504
219.834,864.717
218.919,854.520
217.690,842.119
215.492,831.306
213.084,821.143
210.929,812.868
207.379,789.069
205.471,778.595
201.855,765.645
197.006,754.102
188.443,743.617
178.963,732.738
170.987,726.253
163.220,717.713
156.797,708.884
152.656,700.443
145.860,687.411
137.433,674.057
127.355,663.738
115.836,653.145
96.248,636.301
87.111,624.875
80.582,619.576
71.039,614.614
67.601,610.944
62.309,607.469
60.480,607.283
58.088,607.347
56.801,606.689
56.503,606.463
55.914,604.912
52.471,602.709
52.496,601.146
51.456,599.196
52.562,598.244
48.419,596.821
46.855,596.116
44.243,596.803
42.155,597.628
40.575,594.141
39.718,591.993
35.415,589.318
30.828,586.527
30.289,585.026
31.427,582.156
31.773,580.775
32.883,579.500
31.807,579.179
28.570,575.340
27.576,569.090
26.549,564.106
26.464,556.836
26.202,552.022
26.809,546.559
28.040,542.545
26.124,537.988
26.477,535.815
27.354,531.811
26.962,528.774
29.565,519.739
29.007,511.141
31.206,500.757
32.345,486.656
34.162,477.410
35.136,467.414
35.960,459.723
37.578,453.784
38.340,448.230
38.357,447.028
40.505,440.989
41.206,437.054
41.655,432.595
43.752,426.263
42.380,422.490
43.178,418.241
44.880,411.027
48.172,395.772
51.001,389.478
53.273,381.383
57.655,369.453
62.285,360.299
66.511,351.363
68.058,346.386
72.163,339.312
73.104,336.180
77.335,331.214
79.958,326.123
80.951,320.349
87.054,305.239
90.847,298.047
91.818,293.405
97.052,290.085
99.211,286.860
99.120,284.625
99.622,282.920
102.032,277.858
103.675,274.181
103.584,274.214
104.590,268.745
117.226,252.953
128.103,238.320
130.294,233.659
135.825,227.952
140.419,222.760
144.467,219.237
148.550,212.436
150.888,207.883
156.934,202.521
162.020,195.926
164.394,192.963
167.631,188.675
173.276,183.706
180.918,175.586
185.340,170.277
193.026,164.914
196.756,163.469
198.934,159.999
198.865,155.068
200.983,152.989
204.774,150.042
207.999,147.225
213.058,145.010
214.500,143.475
217.463,140.797
223.243,135.890
226.436,132.784
230.834,130.832
235.488,127.234
241.230,124.139
245.361,120.437
250.895,118.372
254.647,115.842
257.543,113.677
266.014,109.266
270.834,104.952
274.271,101.225
288.647,93.124
296.211,90.202
298.843,88.804
299.550,85.753
304.729,83.128
309.128,82.058
316.432,79.157
321.038,75.969
328.815,71.807
336.800,67.727
344.283,65.752
348.681,63.792
365.827,56.105
376.196,52.717
381.177,52.780
381.409,50.308
385.301,48.180
388.625,46.738
392.524,47.886
396.974,46.711
397.435,43.500
403.958,42.591
411.578,40.178
418.999,39.281
430.852,37.051
436.759,35.069
444.339,34.753
449.675,33.915
452.379,32.861
457.574,31.106
465.240,29.161
472.099,28.444
476.745,30.842
480.844,31.126
482.422,28.608
484.506,27.639
487.952,27.793
491.414,26.974
496.458,28.739
500.911,25.936
505.619,25.694
511.073,25.049
519.259,26.434
524.865,26.995
527.048,25.749
528.715,23.959
533.706,24.893
538.474,25.954
544.025,26.800
550.835,27.415
555.428,26.713
563.526,27.136
577.234,27.641
582.473,28.903
586.082,29.582
588.906,28.941
592.469,28.815
597.146,30.270
602.262,29.915
606.382,33.010
607.730,33.715
608.791,33.750
610.203,34.102
611.899,34.384
